lista abb tam
1 1 1
2 2 2
1 0 3
1 1 4
2 2 5
1 1 6
2 2 7
4 2 8
3 2 9
5 3 10
4 2 11
5 2 12
5 2 13
3 2 14
5 2 15
5 2 16
6 2 17
6 2 18
6 2 19
7 3 20
3 1 21
5 2 22
5 1 23
8 3 24
4 2 25
9 2 26
6 2 27
10 3 28
9 2 29
8 3 30
6 2 31
8 2 32
10 3 33
9 4 34
8 3 35
11 3 36
11 3 37
9 3 38
10 3 39
16 4 40
11 3 41
10 3 42
11 3 43
8 3 44
12 3 45
10 2 46
12 3 47
15 3 48
10 3 49
13 3 50
15 3 51
13 2 52
12 3 53
18 4 54
15 4 55
14 3 56
18 3 57
12 3 58
18 3 59
17 3 60
19 3 61
19 3 62
20 4 63
19 3 64
16 3 65
17 3 66
11 2 67
15 2 68
20 4 69
18 3 70
16 3 71
28 4 72
18 3 73
16 3 74
18 3 75
23 4 76
22 3 77
13 3 78
18 3 79
24 3 80
22 3 81
18 3 82
21 4 83
22 3 84
21 3 85
20 3 86
20 3 87
22 3 88
21 3 89
24 5 90
26 4 91
19 3 92
31 5 93
23 4 94
25 4 95
20 3 96
34 5 97
29 4 98
24 3 99
20 3 100
26 3 101
25 3 102
29 4 103
29 3 104
26 3 105
26 4 106
29 4 107
36 5 108
25 3 109
29 5 110
28 4 111
32 4 112
26 3 113
28 4 114
31 4 115
35 4 116
32 4 117
31 4 118
33 4 119
33 4 120
33 4 121
28 3 122
38 4 123
36 4 124
25 3 125
39 5 126
30 4 127
33 4 128
33 4 129
23 4 130
35 4 131
33 4 132
31 3 133
36 4 134
40 4 135
41 5 136
36 4 137
34 4 138
40 5 139
35 5 140
30 4 141
32 4 142
39 4 143
40 5 144
33 4 145
36 4 146
41 5 147
38 4 148
46 4 149
37 4 150
51 6 151
41 4 152
38 4 153
37 4 154
48 5 155
32 4 156
45 5 157
40 5 158
29 4 159
49 5 160
40 4 161
42 4 162
41 5 163
37 4 164
44 4 165
45 4 166
42 5 167
43 4 168
35 4 169
43 4 170
49 5 171
42 3 172
42 4 173
35 4 174
53 5 175
48 4 176
42 4 177
39 4 178
53 4 179
39 4 180
51 5 181
51 4 182
66 5 183
56 5 184
47 4 185
52 4 186
50 5 187
46 4 188
40 4 189
52 5 190
70 5 191
41 3 192
54 5 193
46 4 194
54 4 195
48 4 196
37 4 197
53 5 198
52 4 199
52 4 200
53 5 201
44 4 202
46 4 203
54 4 204
48 4 205
47 4 206
43 4 207
65 5 208
61 5 209
65 4 210
51 5 211
55 5 212
59 5 213
58 4 214
56 4 215
43 3 216
60 5 217
65 5 218
46 4 219
53 5 220
54 4 221
42 3 222
44 4 223
53 5 224
51 4 225
75 5 226
64 5 227
63 5 228
61 4 229
55 5 230
55 5 231
60 5 232
65 5 233
55 4 234
55 4 235
58 4 236
58 5 237
64 5 238
66 5 239
70 5 240
72 5 241
66 5 242
68 5 243
69 6 244
78 6 245
48 3 246
59 5 247
47 3 248
72 5 249
58 4 250
74 6 251
68 5 252
61 5 253
73 6 254
61 4 255
71 6 256
70 6 257
79 6 258
53 4 259
65 5 260
86 6 261
75 6 262
64 4 263
81 5 264
80 6 265
67 5 266
57 4 267
86 6 268
66 4 269
78 6 270
68 4 271
82 5 272
55 4 273
74 5 274
73 5 275
92 6 276
80 5 277
71 5 278
77 5 279
77 5 280
84 6 281
89 6 282
65 5 283
71 5 284
92 5 285
83 6 286
91 5 287
69 5 288
68 4 289
74 5 290
82 5 291
93 6 292
62 4 293
90 6 294
61 4 295
81 5 296
69 4 297
75 5 298
71 5 299
84 6 300
74 5 301
72 5 302
97 6 303
79 6 304
81 5 305
89 5 306
76 5 307
92 5 308
70 4 309
89 5 310
88 5 311
68 4 312
106 6 313
80 5 314
87 5 315
81 6 316
85 5 317
78 6 318
81 6 319
74 5 320
85 5 321
92 5 322
88 5 323
79 5 324
75 5 325
88 5 326
84 6 327
99 5 328
76 5 329
96 5 330
78 5 331
83 5 332
81 5 333
79 4 334
93 7 335
96 5 336
95 5 337
102 6 338
90 5 339
102 5 340
76 4 341
90 5 342
89 5 343
100 6 344
94 6 345
93 6 346
122 7 347
112 6 348
100 5 349
93 5 350
90 6 351
107 6 352
98 5 353
86 5 354
96 6 355
92 6 356
82 5 357
97 5 358
107 6 359
108 6 360
111 6 361
95 6 362
87 4 363
105 6 364
118 6 365
75 4 366
110 6 367
94 6 368
95 5 369
88 4 370
125 6 371
82 5 372
118 7 373
98 6 374
93 5 375
102 6 376
97 5 377
137 6 378
112 6 379
105 6 380
95 5 381
114 6 382
119 6 383
109 5 384
97 5 385
80 4 386
132 6 387
120 5 388
103 5 389
89 6 390
106 5 391
81 5 392
127 6 393
118 6 394
79 4 395
97 5 396
108 6 397
100 5 398
108 6 399
103 5 400
109 6 401
98 6 402
119 6 403
112 5 404
98 5 405
124 6 406
102 5 407
127 6 408
103 5 409
93 5 410
103 5 411
105 4 412
114 5 413
115 5 414
134 6 415
109 5 416
114 6 417
87 4 418
113 6 419
97 5 420
